name,categories,github_links_list
Bitcoin,['Cryptocurrency'],https://github.com/bitcoin/bitcoin
Bitcoin,['Cryptocurrency'],https://github.com/bitcoin/bips
Ethereum,['Smart Contract Platform'],https://github.com/ethereum/go-ethereum
Ethereum,['Smart Contract Platform'],https://github.com/ethereum/py-evm
Ethereum,['Smart Contract Platform'],https://github.com/ethereum/aleth
Ethereum,['Smart Contract Platform'],https://github.com/ethereum/web3.py
Ethereum,['Smart Contract Platform'],https://github.com/ethereum/solidity
Ethereum,['Smart Contract Platform'],https://github.com/ethereum/sharding
Ethereum,['Smart Contract Platform'],https://github.com/ethereum/casper
Ethereum,['Smart Contract Platform'],https://github.com/paritytech/parity
Tether,"['Avalanche Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'USD Stablecoin', 'Binance Smart Chain Ecosystem', None, 'Stablecoins']",
Binance Coin,"[None, 'Smart Contract Platform', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Binance Smart Chain Ecosystem', 'Centralized Exchange Token (CEX)', 'Exchange-based Tokens']",https://github.com/binance-exchange/binance-official-api-docs
Binance Coin,"[None, 'Smart Contract Platform', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Binance Smart Chain Ecosystem', 'Centralized Exchange Token (CEX)', 'Exchange-based Tokens']",https://github.com/binance-exchange/node-binance-api
Binance Coin,"[None, 'Smart Contract Platform', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Binance Smart Chain Ecosystem', 'Centralized Exchange Token (CEX)', 'Exchange-based Tokens']",https://github.com/binance-exchange/php-binance-api
Solana,"['Solana Ecosystem', 'Smart Contract Platform']",https://github.com/solana-labs/solana
USD Coin,"['Arbitrum Ecosystem', None, 'Avalanche Ecosystem', 'Binance Smart Chain Ecosystem', 'Polygon Ecosystem', 'xDAI Ecosystem', 'USD Stablecoin', 'Stablecoins']",https://github.com/centrehq/centre-tokens
Cardano,"['Smart Contract Platform', None]",https://github.com/input-output-hk/cardano-sl
Cardano,"['Smart Contract Platform', None]",https://github.com/input-output-hk/js-cardano-wasm
Cardano,"['Smart Contract Platform', None]",https://github.com/input-output-hk/plutus
Cardano,"['Smart Contract Platform', None]",https://github.com/input-output-hk/rust-cardano
Cardano,"['Smart Contract Platform', None]",https://github.com/input-output-hk/cardano-chain
XRP,['Cryptocurrency'],https://github.com/ripple/rippled
XRP,['Cryptocurrency'],https://github.com/ripple/ripple-lib
Polkadot,"['Polkadot Ecosystem', 'Smart Contract Platform']",https://github.com/paritytech/polkadot
Terra,"['Cosmos Ecosystem', 'Terra Ecosystem', 'Decentralized Finance (DeFi)', 'Smart Contract Platform']",https://github.com/terra-project/core
Avalanche,"['Avalanche Ecosystem', None, 'Smart Contract Platform']",https://github.com/ava-labs/avalanchego
Dogecoin,"['Meme Tokens', 'Cryptocurrency']",https://github.com/dogecoin/dogecoin
Dogecoin,"['Meme Tokens', 'Cryptocurrency']",https://github.com/dogecoin/libdohj
Shiba Inu,['Meme Tokens'],
Binance USD,"['Polygon Ecosystem', None, 'Avalanche Ecosystem', 'Harmony Ecosystem', 'Binance Smart Chain Ecosystem', 'USD Stablecoin', 'Stablecoins']",https://github.com/paxosglobal/busd-contract
Polygon,"['Polygon Ecosystem', 'Binance Smart Chain Ecosystem', None, 'Smart Contract Platform']",https://github.com/maticnetwork/contracts
Polygon,"['Polygon Ecosystem', 'Binance Smart Chain Ecosystem', None, 'Smart Contract Platform']",https://github.com/maticnetwork/heimdall
Polygon,"['Polygon Ecosystem', 'Binance Smart Chain Ecosystem', None, 'Smart Contract Platform']",https://github.com/maticnetwork/matic.js
Polygon,"['Polygon Ecosystem', 'Binance Smart Chain Ecosystem', None, 'Smart Contract Platform']",https://github.com/maticnetwork/eth-dagger.js
Polygon,"['Polygon Ecosystem', 'Binance Smart Chain Ecosystem', None, 'Smart Contract Platform']",https://github.com/maticnetwork/sol-trace
Crypto.com Coin,"['Cosmos Ecosystem', 'Centralized Exchange Token (CEX)', 'Exchange-based Tokens']",https://github.com/crypto-org-chain/chain-main
Chainlink,"['Arbitrum Ecosystem', 'Avalanche Ecosystem', 'Binance Smart Chain Ecosystem', None, 'xDAI Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Solana Ecosystem', 'Infrastructure', 'Polkadot Ecosystem', 'Oracle', 'Decentralized Finance (DeFi)', 'Business Services', 'Smart Contract Platform']",https://github.com/smartcontractkit/chainlink
Chainlink,"['Arbitrum Ecosystem', 'Avalanche Ecosystem', 'Binance Smart Chain Ecosystem', None, 'xDAI Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Solana Ecosystem', 'Infrastructure', 'Polkadot Ecosystem', 'Oracle', 'Decentralized Finance (DeFi)', 'Business Services', 'Smart Contract Platform']",https://github.com/smartcontractkit/chainlink-ruby
Wrapped Bitcoin,"['Wrapped-Tokens', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Tokenized BTC', None, 'xDAI Ecosystem']",https://github.com/WrappedBTC/bitcoin-token-smart-contracts
Wrapped Bitcoin,"['Wrapped-Tokens', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Tokenized BTC', None, 'xDAI Ecosystem']",https://github.com/WrappedBTC/DAO
Cosmos,"['Cosmos Ecosystem', 'Cryptocurrency', 'Binance Smart Chain Ecosystem']",https://github.com/cosmos/cosmos
Cosmos,"['Cosmos Ecosystem', 'Cryptocurrency', 'Binance Smart Chain Ecosystem']",https://github.com/cosmos/cosmos-sdk
Cosmos,"['Cosmos Ecosystem', 'Cryptocurrency', 'Binance Smart Chain Ecosystem']",https://github.com/cosmos/voyager
TerraUSD,"['Seigniorage', 'Terra Ecosystem', 'USD Stablecoin', 'Stablecoins']",https://github.com/terra-project
Litecoin,['Cryptocurrency'],https://github.com/litecoin-project/litecoin
Algorand,"['Cryptocurrency', 'Smart Contract Platform']",https://github.com/algorand/go-algorand
Algorand,"['Cryptocurrency', 'Smart Contract Platform']",https://github.com/algorand/java-algorand-sdk
Algorand,"['Cryptocurrency', 'Smart Contract Platform']",https://github.com/algorand/js-algorand-sdk
Algorand,"['Cryptocurrency', 'Smart Contract Platform']",https://github.com/algorand/go-algorand-sdk
Dai,"['Arbitrum Ecosystem', None, 'Avalanche Ecosystem', 'Binance Smart Chain Ecosystem', 'Polygon Ecosystem', 'USD Stablecoin', 'Decentralized Finance (DeFi)', 'Stablecoins']",
Near,"['Near Protocol Ecosystem', 'Smart Contract Platform']",https://github.com/near
Near,"['Near Protocol Ecosystem', 'Smart Contract Platform']",https://github.com/nearprotocol/near-wallet
Near,"['Near Protocol Ecosystem', 'Smart Contract Platform']",https://github.com/nearprotocol/nearlib
Near,"['Near Protocol Ecosystem', 'Smart Contract Platform']",https://github.com/nearprotocol/nearcore
Bitcoin Cash,['Cryptocurrency'],https://github.com/gcash/bchd
Bitcoin Cash,['Cryptocurrency'],https://github.com/k-nuth/kth
Bitcoin Cash,['Cryptocurrency'],https://github.com/softwareverde/bitcoin-verde
Uniswap,"['Arbitrum Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Binance Smart Chain Ecosystem', 'xDAI Ecosystem', 'Automated Market Maker (AMM)', 'Exchange-based Tokens', 'Governance', 'Decentralized Exchange Token (DEX)', 'Yield Farming', 'Decentralized Finance (DeFi)']",
TRON,['Smart Contract Platform'],https://github.com/tronprotocol/java-tron
TRON,['Smart Contract Platform'],https://github.com/tronprotocol/grpc-gateway
TRON,['Smart Contract Platform'],https://github.com/tronprotocol/protocol
TRON,['Smart Contract Platform'],https://github.com/tronprotocol/tron-contracts
